1    201501024     A0210
1    201501034     A0230
1    201501034     B0200
1    201501043     D0030
1    201501041     A0130
1    201501051     A0330
1    201501052     C0120
1    201501063     A0100
2    201501024     B0210
2    201501032     C0100
2    201501031     A0230
2    201501032     B0045
2    201501043     B0230
2    201501043     C0120
2    201501053     C0142
3    201501022     A0050
3    201501031     C0125
3    201501041     A0045
3    201501044     B0200
3    201501041     B0137
3    201501051     D0055
3    201501052     B0150
4    201501041     D0300
4    201501064     A0240
