1    20150102004   A0210
1    20150103004   A0230
1    20150103004   B0200
1    20150104003   D0030
1    20150104001   A0130
1    20150105001   A0330
1    20150105002   C0120
1    20150106003   A0100
2    20150102004   B0210
2    20150103002   C0100
2    20150103001   A0230
2    20150103002   B0045
2    20150104003   B0230
2    20150104003   C0120
2    20150105003   C0142
3    20150102002   A0050
3    20150103001   C0125
3    20150104001   A0045
3    20150104004   B0200
3    20150104001   B0137
3    20150105001   D0055
3    20150105002   B0150
4    20150104001   D0300
4    20150106004   A0240
